Date,Clicks,Impressions,CTR,Position
2024-12-27,33,9554,0.35%,33.3
2024-12-28,32,9321,0.34%,33.9
2024-12-29,35,9400,0.37%,34
2024-12-30,42,9174,0.46%,33.2
2024-12-31,26,8292,0.31%,33.7
2025-01-01,51,9596,0.53%,31.3
2025-01-02,60,10225,0.59%,33
2025-01-03,40,10580,0.38%,33.7
2025-01-04,41,9978,0.41%,34.8
2025-01-05,61,10433,0.58%,31.8
2025-01-06,79,11284,0.7%,31.6
2025-01-07,66,10911,0.6%,30.3
2025-01-08,85,11163,0.76%,31.1
2025-01-09,80,10636,0.75%,29.2
2025-01-10,37,9171,0.4%,31.9
2025-01-11,46,8956,0.51%,31.6
2025-01-12,70,9660,0.72%,28.9
2025-01-13,87,14103,0.62%,31.2
2025-01-14,109,9929,1.1%,28.2
2025-01-15,119,7415,1.6%,22.1
2025-01-16,89,7182,1.24%,21.8
2025-01-17,44,10517,0.42%,33.5
2025-01-18,36,9878,0.36%,33
2025-01-19,87,12132,0.72%,31.1
2025-01-20,81,11445,0.71%,29.5
2025-01-21,74,10888,0.68%,29
2025-01-22,74,10604,0.7%,29.3
2025-01-23,68,15630,0.44%,32.6
2025-01-24,34,9504,0.36%,33.4
2025-01-25,27,10494,0.26%,33.4
2025-01-26,48,9604,0.5%,31.7
2025-01-27,78,11388,0.68%,29.7
2025-01-28,71,11744,0.6%,30.3
2025-01-29,64,11279,0.57%,29.8
2025-01-30,73,10352,0.71%,29.9
2025-01-31,39,9590,0.41%,33.8
2025-02-01,30,10132,0.3%,34.9
2025-02-02,78,11447,0.68%,32
2025-02-03,91,11950,0.76%,31.1
2025-02-04,77,11651,0.66%,31.2
2025-02-05,72,12362,0.58%,31.9
2025-02-06,73,11538,0.63%,31.6
2025-02-07,49,10685,0.46%,35.2
2025-02-08,37,10215,0.36%,34.8
2025-02-09,57,11108,0.51%,31.5
2025-02-10,88,11912,0.74%,30.8
2025-02-11,82,10964,0.75%,30.4
2025-02-12,83,11539,0.72%,30.8
2025-02-13,59,11023,0.54%,31.4
2025-02-14,37,9982,0.37%,35.4
2025-02-15,29,13959,0.21%,36.5
2025-02-16,75,11297,0.66%,31
2025-02-17,81,11867,0.68%,30.1
2025-02-18,120,11556,1.04%,30.3
2025-02-19,94,11780,0.8%,30.8
2025-02-20,86,11872,0.72%,30.2
2025-02-21,36,10764,0.33%,32.5
2025-02-22,40,16875,0.24%,34.6
2025-02-23,91,12304,0.74%,28.8
2025-02-24,85,12938,0.66%,29
2025-02-25,63,12867,0.49%,28.4
2025-02-26,84,12438,0.68%,29
2025-02-27,78,11933,0.65%,29.2
2025-02-28,42,11451,0.37%,33.3
2025-03-01,29,11986,0.24%,33.9
2025-03-02,74,12919,0.57%,30.6
2025-03-03,82,12921,0.63%,29.5
2025-03-04,80,12490,0.64%,29.9
2025-03-05,92,12502,0.74%,30.3
2025-03-06,66,12193,0.54%,31.4
2025-03-07,47,11904,0.39%,34.4
2025-03-08,38,11561,0.33%,34.1
2025-03-09,39,10947,0.36%,31.2
2025-03-10,65,12833,0.51%,29.5
2025-03-11,74,11965,0.62%,29.2
2025-03-12,61,13098,0.47%,31.5
2025-03-13,59,15184,0.39%,33.5
2025-03-14,42,10742,0.39%,34.2
2025-03-15,28,10707,0.26%,34.9
2025-03-16,83,10725,0.77%,31.1
2025-03-17,82,11316,0.72%,30.8
2025-03-18,80,11108,0.72%,30.7
2025-03-19,64,11784,0.54%,32.3
2025-03-20,62,12463,0.5%,34.5
2025-03-21,31,10607,0.29%,36.7
2025-03-22,36,11799,0.31%,37.4
2025-03-23,73,14768,0.49%,34.9
2025-03-24,83,10735,0.77%,31.7
2025-03-25,76,11092,0.69%,32.1
2025-03-26,78,10632,0.73%,31.9
2025-03-27,49,10510,0.47%,33.1
2025-03-28,28,10054,0.28%,36.6
2025-03-29,25,10201,0.25%,38.3
2025-03-30,53,10300,0.51%,34.3
2025-03-31,60,10869,0.55%,34.1
2025-04-01,74,11729,0.63%,35.5
2025-04-02,50,10624,0.47%,33.8
2025-04-03,50,11106,0.45%,34.1
2025-04-04,30,10518,0.29%,38
2025-04-05,16,10473,0.15%,38.1
2025-04-06,37,10696,0.35%,35.3
2025-04-07,82,10929,0.75%,32.5
2025-04-08,60,12099,0.5%,33.6
2025-04-09,64,11415,0.56%,33.3
2025-04-10,58,10712,0.54%,34.3
2025-04-11,30,10181,0.29%,37.3
2025-04-12,31,11850,0.26%,39.7
2025-04-13,42,10659,0.39%,36.1
2025-04-14,55,11450,0.48%,34.5
2025-04-15,62,14697,0.42%,35.9
2025-04-16,58,13451,0.43%,35.7
2025-04-17,25,8857,0.28%,37.2
2025-04-18,22,10458,0.21%,38.9
2025-04-19,15,9548,0.16%,38.4
2025-04-20,28,10188,0.27%,38.1
2025-04-21,59,10571,0.56%,34.9
2025-04-22,59,15074,0.39%,36
2025-04-23,35,11212,0.31%,35.2
2025-04-24,26,10393,0.25%,37.3
2025-04-25,27,10551,0.26%,37.6
2025-04-26,29,10323,0.28%,37.5
2025-04-27,50,11510,0.43%,35.7
2025-04-28,49,11354,0.43%,33.7
2025-04-29,60,11586,0.52%,33.5
2025-04-30,47,10876,0.43%,33.9
2025-05-01,38,11108,0.34%,34.9
2025-05-02,32,10618,0.3%,37.6
2025-05-03,21,10348,0.2%,37.6
2025-05-04,46,11414,0.4%,35.6
2025-05-05,50,10910,0.46%,34.7
2025-05-06,62,11307,0.55%,34.8
2025-05-07,65,10829,0.6%,35.1
2025-05-08,50,10798,0.46%,35.3
2025-05-09,33,10199,0.32%,38.4
2025-05-10,27,10575,0.26%,39.3
2025-05-11,64,12230,0.52%,36.7
2025-05-12,63,11910,0.53%,35.2
2025-05-13,72,11367,0.63%,34
2025-05-14,76,12290,0.62%,36.5
2025-05-15,51,10897,0.47%,35.1
2025-05-16,25,12260,0.2%,38
2025-05-17,29,12198,0.24%,36.8
2025-05-18,55,11471,0.48%,36.1
2025-05-19,53,9760,0.54%,33.4
2025-05-20,51,9945,0.51%,33.1
2025-05-21,69,10343,0.67%,33.6
2025-05-22,51,14796,0.34%,35.9
2025-05-23,35,9548,0.37%,38.1
2025-05-24,26,9302,0.28%,38.1
2025-05-25,49,9140,0.54%,34.1
2025-05-26,50,11030,0.45%,34.2
2025-05-27,68,11114,0.61%,34.1
2025-05-28,50,10563,0.47%,34.3
2025-05-29,49,11015,0.44%,35.3
2025-05-30,31,10898,0.28%,38.3
2025-05-31,22,10495,0.21%,39
2025-06-01,54,11517,0.47%,36.5
2025-06-02,78,10952,0.71%,34.2
2025-06-03,77,11722,0.66%,34.8
